plId;pl_usId;plShare;plTitle;plDate;plWhere;lat;lng;plComment;seen
1;11111111;1;Desigual;01/01/2015;;43.6595306;7.1987238;;0
2;11111111;1;Nice Etoile - Parking;01/01/2015;;43.701256;7.26795;;0
3;11111111;0;@ PO Home.;01/01/2015;;43.7142562;7.2629352;;0
4;11111111;0;@ DN Home.;01/01/2015;;43.59013;7.108755;;0
5;11111111;1;Aire de repos - Nice-Albi;01/11/2014;;43.6837635;4.5679092;;0
6;11111111;1;Aire de repos - Le Grau du Roi-Nice;01/01/2015;;43.4249984;5.981369;;0
7;11111111;1;Hotel Les Voiliers;21/06/2014;;43.082952;6.15679799999998;;0
8;11111111;1;Les Arbousiers;31/05/2014;;42.558589;8.75615900000003;;0
9;11111111;1;Thalassothérapie Thalazur Port Camargue;01/01/2015;;43.517731;4.12538700000005;;0
10;11111111;1;Galeries Lafayette Nice;01/01/2015;;43.698837;7.26969499999996;;0
11;11111111;1;Etam Lingerie;01/01/2015;;43.702812;7.2667399;;0
12;11111111;1;Grande Roue;01/01/2015;;43.6968452;7.2700846;;0
13;11111111;1;Marlone Cafe;01/01/2015;;43.695906;7.27095399999996;;0
14;11111111;1;Logis Hôtel le Domaine de la Reynaude;01/06/2014;;43.684653;5.132502;;0
15;11111111;1;Hotel de Valdeblore;01/02/2015;;44.071677;7.167463;;0
16;11111111;1;Hôtel l'Elysée Val d'Europe;01/07/2014;;48.855622;2.77554299999997;;0
17;11111111;1;Corse - Chemin de terre;01/06/2014;;42.603918;8.888036;;0
18;11111111;1;Corse - Chemin de terre;01/06/2014;;42.2911198;8.6875248;;0
19;11111111;1;Naf Naf;01/02/2015;;43.6592255;7.196812;;0
20;11111111;1;Piste de ski (La Colmiane);01/02/2015;;44.0663427;7.225399;;0
21;11111111;1;Decathlon (Antibes) - Cabine tissu;01/03/2015;;43.600744;7.078224;;0
22;11111111;1;Decathlon (Antibes) - Cabine fond;01/05/2015;;43.60103;7.078395;;0
23;11111111;1;Av Philippe Rochat (Parking);01/03/2015;;43.5904247;7.1071512;;0
24;11111111;1;4 rue droite (Impasse);01/03/2015;;43.6980407;7.2777034;;0
25;11111111;1;Valrose (Parking);01/01/2015;;43.71619;7.2655302;;0
26;11111111;1;Bus 740 => Aurons;01/03/2015;;43.8043054;7.1987915;;0
27;11111111;1;Voiture;01/02/2015;;43.7058562;7.1884918;;0
28;11111111;1;Trajet Nice-Corse;01/05/2014;;43.1250432;8.0859375;;0
29;11111111;1;Pathé Paris;01/04/2015;;43.70407;7.26603499999999;;0
30;11111111;1;Eze. Point de vue.;01/05/2015;;43.7285009;7.3627697;;0
31;11111111;1;La coline du chateau;01/05/2015;;43.6958489;7.279709;;0
32;11111111;1;Nautipolis;01/05/2015;;43.6254421;7.0532467;;0
33;11111111;1;Caprici Hotel;01/06/2015;;41.629355;2.71506599999998;;0
34;11111111;1;Calella Beach;01/06/2015;;41.6057301;2.6411115;;0
35;11111111;1;Voiture;01/06/2015;;43.6486219;7.1393967;;0
36;11111111;1;B&B Hôtel Hyères;01/07/2015;;43.113775;6.12468899999999;;0
37;11111111;1;Ile du Levant - Corniche de la pinède;01/07/2015;;43.0218;6.437252;;0
38;11111111;1;Aire de repos;01/07/2015;;43.5892076;7.0357829;;0
39;11111111;1;Antibes. Fort Carré. Banc;01/08/2015;;43.5923023;7.1288516;;0
40;11111111;1;Antibes. Fort Carré. Entre les arbres;01/08/2015;;43.5910619;7.1291064;;0
